domain,hostname,ip,TLSRedirect,TLSSiteExist,serialNumber,notValidBefore,notValidAfter,signatureHashAlgorithm,statusCode,statusMessage,issuerCommonName,Server,X-Powered-By,asn,asnCountryCode,isp,formFields
ekbs,www.ekbs.gov.my,202.75.7.47,False,False,,,,,,,,Microsoft-IIS/7.5,ASP.NET,AS17564,MY,GITN-PCN-AS-AP GITN (M) Sdn. Bhd.,
sarawak,www.elasis.sarawak.gov.my,58.26.203.164,True,True,183010377333202259121976069864889912170,2017-09-12 07:51:05,2018-09-12 08:21:05,sha256,1,Pass,Entrust Certification Authority - L1K,wrp101,"PHP/5.3.28, ASP.NET",AS4788,MY,"TMNET-AS-AP TM Net, Internet Service Provider",|searchword|option|task
elx,www.elx.gov.my,202.75.5.131,False,False,,,,,,,,,,AS17564,MY,GITN-PCN-AS-AP GITN (M) Sdn. Bhd.,
epbt,www.epbt.gov.my,203.217.179.73,False,False,,,,,,,,,,AS17564,MY,GITN-PCN-AS-AP GITN (M) Sdn. Bhd.,
epbtonline,www.epbtonline.gov.my,203.217.179.65,False,True,45804300037742843558226879227106367144,2016-12-30 00:00:00,2018-12-30 23:59:59,sha256,1,Pass,GeoTrust EV SSL CA - G4,Apache-Coyote/1.1,n/a,AS17564,MY,GITN-PCN-AS-AP GITN (M) Sdn. Bhd.,n/a
eperolehan,www.eperolehan.gov.my,107.154.247.35,True,True,6309203046036993194941011344,2017-12-28 04:47:56,2018-12-16 07:17:58,sha256,1,Pass,GlobalSign CloudSSL CA - SHA256 - G3,n/a,n/a,AS19551,US,INCAPSULA - Incapsula Inc,
epsa,www.epsa.gov.my,103.8.160.32,True,True,4689025927228396754359855377674010309,2017-12-28 01:46:05,2019-12-28 02:16:02,sha256,1,Pass,Entrust Certification Authority - L1M,Apache,PHP/5.5.14,AS17564,MY,GITN-PCN-AS-AP GITN (M) Sdn. Bhd.,|q|username|password|icnumber|email|userid|type
epu,www.epu.gov.my,103.8.145.121,False,False,,,,,,,,Apache/2.4.6 (CentOS) PHP/7.0.9,XXXXXXXXXX,AS17564,MY,GITN-PCN-AS-AP GITN (M) Sdn. Bhd.,|search_block_form|form_build_id|form_id
fama,www.fama.gov.my,103.8.160.209,False,False,,,,,,,,n/a,n/a,AS17564,MY,GITN-PCN-AS-AP GITN (M) Sdn. Bhd.,n/a
feloperdana,www.feloperdana.gov.my,103.8.161.178,False,False,,,,,,,,nginx,PHP/5.6.33,AS17564,MY,GITN-PCN-AS-AP GITN (M) Sdn. Bhd.,n/a
finas,www.finas.gov.my,103.198.68.1,False,True,265876478857276281829179730224762386138619,2018-01-26 04:06:19,2018-04-26 04:06:19,sha256,1,Pass,Let's Encrypt Authority X3,nginx,"PHP/7.0.27, PleskLin",AS45352,MY,IPSERVERONE-AS-AP IP ServerOne Solutions Sdn Bhd,|s
sabah,www.fishdept.sabah.gov.my,27.0.4.11,False,True,184605085515935929262331699731796587485,2017-04-26 00:00:00,2019-05-28 23:59:59,sha256,-1,Certificate & Hostname mismatch,COMODO RSA Organization Validation Secure Server CA,Microsoft-IIS/8.5,"PHP/5.6.0, ASP.NET",AS55420,MY,SABAHNET-AS-AP APNIC ASN Block,|search_block_form|op|form_build_id|form_id|choice|choice|op|form_build_id|form_id|pollanonkey|pollanon-nid
forestry,www.forestry.gov.my,103.8.146.135,True,True,129889084657280213537259957145275665970,2017-11-20 03:44:33,2018-12-07 04:14:32,sha256,1,Pass,Entrust Certification Authority - L1K,Apache/2.4.6 (CentOS) OpenSSL/1.0.1e-fips PHP/5.6.30,PHP/5.6.30,AS17564,MY,GITN-PCN-AS-AP GITN (M) Sdn. Bhd.,n/a
frim,www.frim.gov.my,203.12.220.172,False,True,179427131304842002382329062385365940720,2017-07-04 00:00:00,2019-10-07 23:59:59,sha256,1,Pass,COMODO RSA Domain Validation Secure Server CA,,,AS38044,MY,GITN-NETWORK GITN-NETWORK,
www.fsd.gov.my,,,,,,,,,,,,,,,,,
www.glob.gov.my,,,,,,,,,,,,,,,,,
www.gov.my,,,,,,,,,,,,,,,,,
halal,www.halal.gov.my,103.21.254.246,False,False,,,,,,,,Apache/2.2.15 (Red Hat),PHP/5.5.38,AS131310,MY,PLT-NET-MY CX2 Computer Exchange,|cari|search
www.halaljakim.gov.my,,,,,,,,,,,,,,,,,
hasil,www.hasil.gov.my,113.11.237.1,False,False,,,,,,,,wwwLHDN,XXXXXXXXXXX,AS55951,MY,LHDNM-MY Blok 9 Kompleks Bangunan Kerajaan,
heritage,www.heritage.gov.my,175.28.12.200,False,False,,,,,,,,Apache,n/a,AS38044,MY,GITN-NETWORK GITN-NETWORK,|username|password|remember|option|task|return|13d08a4b1af7efebb030244983d50665|q|Itemid|user[email]|Submit|ajax|ctrl|task|redirect|redirectunsub|option|hiddenlists|acyformname
hkl,www.hkl.gov.my,175.28.13.72,False,False,,,,,,,,Apache/2.4.6 (CentOS) PHP/5.4.16,PHP/5.4.16,AS38044,MY,GITN-NETWORK GITN-NETWORK,n/a
hpj,www.hpj.gov.my,175.28.13.149,False,False,,,,,,,,Microsoft-IIS/8.5,"PHP/5.6.22, ASP.NET",AS38044,MY,GITN-NETWORK GITN-NETWORK,|searchword|searchphrase|limit|ordering|view|option
hydro,www.hydro.gov.my,218.208.35.220,False,True,77798379158172323690954318915037127414,2017-08-04 00:00:00,2020-11-03 23:59:59,sha256,1,Pass,COMODO RSA Domain Validation Secure Server CA,,,AS4788,MY,"TMNET-AS-AP TM Net, Internet Service Provider",
icu,www.icu.gov.my,58.26.69.12,False,False,,,,,,,,,,AS4788,MY,"TMNET-AS-AP TM Net, Internet Service Provider",
idfr,www.idfr.gov.my,175.28.15.184,True,True,73149325998073463874282356979824038608,2018-01-22 00:00:00,2021-01-22 23:59:59,sha256,1,Pass,COMODO RSA Domain Validation Secure Server CA,Apache,n/a,AS38044,MY,GITN-NETWORK GITN-NETWORK,|searchword|task|option|Itemid|searchword|task|option|Itemid
sarawak,www.ihydro.did.sarawak.gov.my,58.26.203.15,False,True,3941334978065136664739572805501705889,2016-07-04 00:00:00,2019-08-03 23:59:59,sha256,-1,Certificate & Hostname mismatch,RapidSSL SHA256 CA,wrp101,n/a,AS4788,MY,"TMNET-AS-AP TM Net, Internet Service Provider",
www.ijn.gov.my,,,,,,,,,,,,,,,,,
sabah,www.iks.sabah.gov.my,27.0.4.158,False,False,,,,,,,,Microsoft-IIS/6.0,ASP.NET,AS55420,MY,SABAHNET-AS-AP APNIC ASN Block,|__VIEWSTATE|__VIEWSTATEGENERATOR|__EVENTVALIDATION|txtlogin|txtPwd|btnLogin
www.iktbnsp.gov.my,,,,,,,,,,,,,,,,,
imi,www.imi.gov.my,58.27.46.23,False,False,,,,,,,,Apache,n/a,AS4788,MY,"TMNET-AS-AP TM Net, Internet Service Provider",|searchword|task|option|Itemid
imr,www.imr.gov.my,175.28.13.118,False,False,,,,,,,,Apache/2.4.18 (Ubuntu),n/a,AS38044,MY,GITN-NETWORK GITN-NETWORK,|username|password|remember|option|task|return|b68fdcb304253fb7924a46a3387ccb78
infosihat,www.infosihat.gov.my,103.8.162.235,False,True,457,2014-01-02 06:45:53,2015-01-02 06:45:53,sha1,-1,Certificate & Hostname mismatch,infosihat,Apache,n/a,AS17564,MY,GITN-PCN-AS-AP GITN (M) Sdn. Bhd.,
infra,www.infra.gov.my,175.28.13.84,False,False,,,,,,,,Apache/2.4.6 (CentOS) OpenSSL/1.0.1e-fips mod_fcgid/2.3.9 PHP/5.4.16,PHP/5.4.16,AS38044,MY,GITN-NETWORK GITN-NETWORK,|q|Itemid|ytcpanel_bgcolor|ytcpanel_linkcolor|ytcpanel_textcolor|ytcpanel_header-bgcolor|ytcpanel_header-bgimage|ytcpanel_spotlight5-bgcolor|ytcpanel_footer-bgcolor
inspen,www.inspen.gov.my,202.60.59.156,False,True,15917855936761389828,2016-07-18 05:07:03,2037-07-13 05:07:03,sha256,-1,Certificate & Hostname mismatch,SANGFOR,Apache/2.2.3 (Unix) DAV/2 mod_ssl/2.2.3 OpenSSL/0.9.8d PHP/5.1.6 mod_apreq2-20051231/2.5.7 mod_perl/2.0.2 Perl/v5.8.7,n/a,AS38044,MY,GITN-NETWORK GITN-NETWORK,
instun,www.instun.gov.my,103.8.146.214,True,True,408552572276892392,2015-08-26 11:32:41,2018-08-26 08:27:39,sha256,1,Pass,Go Daddy Secure Certificate Authority - G2,Apache,n/a,AS17564,MY,GITN-PCN-AS-AP GITN (M) Sdn. Bhd.,|q|q
jpa,www.interactive.jpa.gov.my,202.75.5.14,True,True,330309146268273469787456714855610612740,2017-05-09 03:08:22,2019-01-14 03:38:19,sha256,1,Pass,Entrust Certification Authority - L1K,Microsoft-IIS/7.0,n/a,AS17564,MY,GITN-PCN-AS-AP GITN (M) Sdn. Bhd.,
www.intranet.jakoa.gov.my,,,,,,,,,,,,,,,,,
investinpahang,www.investinpahang.gov.my,183.78.170.103,False,False,,,,,,,,Apache,n/a,AS45785,MY,TECHAVENUE-AP TechAvenue Malaysia,|action|PHPSESSID|id|st|nh|md|wm|tl|qt|submit|mb|op|url|errorUrl|list|!NAME|!EMAIL|sub
investkl,www.investkl.gov.my,183.81.167.225,False,False,,,,,,,,Microsoft-IIS/7.5,ASP.NET,AS45352,MY,IPSERVERONE-AS-AP IP ServerOne Solutions Sdn Bhd,|ctl08_TSM|__EVENTTARGET|__EVENTARGUMENT|__VIEWSTATE|__VIEWSTATEGENERATOR|__EVENTVALIDATION|radlv_Menu_GKL_ClientState|radlv_Menu_Opportunities_ClientState|radlv_Menu_Resource_ClientState|radlv_Menu_Started_ClientState|radcb_Language|radcb_Language_ClientState|radtb_Search|radtb_Search_ClientState|radlv_Success_Stories_ClientState|radlv_Relevant_News_ClientState|radlv_Multimedia_ClientState|radlv_Liveability_ClientState
ipn,www.ipn.gov.my,175.28.15.153,False,False,,,,,,,,Apache/2.4.4 (Win32) OpenSSL/0.9.8y PHP/5.4.16,PHP/5.4.16,AS38044,MY,GITN-NETWORK GITN-NETWORK,n/a
ippbm,www.ippbm.gov.my,43.252.215.157,False,True,141481129459118860702504174979404576396,2018-02-07 00:00:00,2018-05-08 23:59:59,sha256,1,Pass,"cPanel, Inc. Certification Authority",Apache,PHP/5.3.29,AS46015,MY,EXABYTES-AS-AP Exa Bytes Network Sdn.Bhd.,|searchword|task|option|Itemid
ipptar,www.ipptar.gov.my,175.28.14.254,False,False,,,,,,,,Apache/2.4.6 (CentOS) PHP/5.5.34,PHP/5.5.34,AS38044,MY,GITN-NETWORK GITN-NETWORK,|searchword|task|option|Itemid
iptk,www.iptk.gov.my,210.48.154.58,False,True,5231647090,2017-08-25 18:48:51,2018-08-25 18:48:51,sha256,-1,Certificate & Hostname mismatch,*.paragliders.my,Apache,n/a,AS17971,MY,TMVADS-AP TM-VADS DC Hosting,
ises,www.ises.gov.my,110.74.145.139,False,False,,,,,,,,Apache/2.4.18 (Ubuntu),n/a,AS45668,MY,AIMS-MY-NET AIMS Data Centre Sdn Bhd,|s
islam,www.islam.gov.my,103.8.146.156,False,False,,,,,,,,Apache/2.4.6 (Red Hat Enterprise Linux) PHP/5.6.30,PHP/5.6.30,AS17564,MY,GITN-PCN-AS-AP GITN (M) Sdn. Bhd.,|q|Itemid
ism,www.ism.gov.my,103.8.146.115,False,False,,,,,,,,Apache/2.4.7 (Ubuntu),PHP/5.5.9-1ubuntu4,AS17564,MY,GITN-PCN-AS-AP GITN (M) Sdn. Bhd.,|searchword|task|option|Itemid
isn,www.isn.gov.my,104.27.144.184,False,True,218311636689855597196388196125753078659,2018-01-24 00:00:00,2018-08-02 23:59:59,sha256,1,Pass,COMODO ECC Domain Validation Secure Server CA 2,cloudflare,n/a,AS13335,US,"CLOUDFLARENET - Cloudflare, Inc.",n/a
istanabudaya,www.istanabudaya.gov.my,103.8.146.50,False,False,,,,,,,,Apache/2.4.7 (Ubuntu),PHP/5.5.9-1ubuntu4.22,AS17564,MY,GITN-PCN-AS-AP GITN (M) Sdn. Bhd.,
istiadat,www.istiadat.gov.my,103.8.161.251,False,False,,,,,,,,Apache/2.2.21 (Win32),n/a,AS17564,MY,GITN-PCN-AS-AP GITN (M) Sdn. Bhd.,|searchword|task|option|Itemid
itc,www.itc.gov.my,104.28.28.112,False,False,,,,,,,,cloudflare,PHP/5.5.9-1ubuntu4.14,AS13335,US,"CLOUDFLARENET - Cloudflare, Inc.",n/a
iyres,www.iyres.gov.my,43.252.215.157,False,True,141481129459118860702504174979404576396,2018-02-07 00:00:00,2018-05-08 23:59:59,sha256,1,Pass,"cPanel, Inc. Certification Authority",Apache,PHP/5.3.29,AS46015,MY,EXABYTES-AS-AP Exa Bytes Network Sdn.Bhd.,|searchword|task|option|Itemid
jais,www.jais.gov.my,58.27.18.130,False,False,,,,,,,,Apache,n/a,AS4788,MY,"TMNET-AS-AP TM Net, Internet Service Provider",|search_block_form|submit|form_build_id|form_id
jakess,www.jakess.gov.my,103.8.25.112,False,True,8754686038949612315165894909207517390,2017-06-22 00:00:00,2018-06-22 23:59:59,sha256,-1,Certificate & Hostname mismatch,"cPanel, Inc. Certification Authority",,,AS132241,MY,SKSATECH1-MY SKSA TECHNOLOGY SDN BHD,
jakoa,www.jakoa.gov.my,43.252.234.98,False,False,,,,,,,,Apache/2.4.6 (CentOS) PHP/5.6.32,PHP/5.6.32,AS38044,MY,GITN-NETWORK GITN-NETWORK,n/a
sabah,www.jans.sabah.gov.my,27.0.4.129,False,True,131233723279663570524365257120327163298,2014-12-29 00:00:00,2019-01-17 23:59:59,sha256,1,Pass,thawte SSL CA - G2,,,AS55420,MY,SABAHNET-AS-AP APNIC ASN Block,
jasa,www.jasa.gov.my,58.26.125.187,False,False,,,,,,,,Apache/2,PHP/5.6.30,AS4788,MY,"TMNET-AS-AP TM Net, Internet Service Provider",n/a
sabah,www.jawatan.sabah.gov.my,27.0.4.178,False,False,,,,,,,,Microsoft-IIS/6.0,ASP.NET,AS55420,MY,SABAHNET-AS-AP APNIC ASN Block,
jawhar,www.jawhar.gov.my,202.75.5.172,False,False,,,,,,,,Apache/2.4.17 (Win32) OpenSSL/1.0.2d PHP/5.6.30,PHP/5.6.30,AS17564,MY,GITN-PCN-AS-AP GITN (M) Sdn. Bhd.,|s|wp-polls-nonce|poll_id|poll_3|poll_3|poll_3|vote
jba,www.jba.gov.my,203.217.178.12,False,False,,,,,,,,Apache,n/a,AS17564,MY,GITN-PCN-AS-AP GITN (M) Sdn. Bhd.,n/a
jbsn,www.jbsn.gov.my,103.8.145.162,False,False,,,,,,,,nginx,n/a,AS17564,MY,GITN-PCN-AS-AP GITN (M) Sdn. Bhd.,n/a
sabah,www.jemputan.sabah.gov.my,27.0.4.158,False,False,,,,,,,,Microsoft-IIS/6.0,ASP.NET,AS55420,MY,SABAHNET-AS-AP APNIC ASN Block,|__VIEWSTATE|__VIEWSTATEGENERATOR|__EVENTVALIDATION|txtic|txtPwd|Button1
www.jhev.gov.my,,,,,,,,,,,,,,,,,
jkjr,www.jkjr.gov.my,203.217.178.210,False,False,,,,,,,,Apache/2.2.22 (Ubuntu),n/a,AS17564,MY,GITN-PCN-AS-AP GITN (M) Sdn. Bhd.,n/a
jkkn,www.jkkn.gov.my,103.8.146.245,False,False,,,,,,,,Apache/2.4.6 (CentOS) PHP/5.4.16,PHP/5.4.16,AS17564,MY,GITN-PCN-AS-AP GITN (M) Sdn. Bhd.,|search_block_form|op|form_build_id|form_id
jkm,www.jkm.gov.my,203.217.179.135,False,False,,,,,,,,nginx/1.13.4,PHP/5.6.31,AS17564,MY,GITN-PCN-AS-AP GITN (M) Sdn. Bhd.,
jkmselangor,www.jkmselangor.gov.my,103.6.198.129,False,False,,,,,,,,Apache,PHP/5.6.33,AS46015,MY,EXABYTES-AS-AP Exa Bytes Network Sdn.Bhd.,
moh,www.jknselangor.moh.gov.my,175.28.14.103,False,False,,,,,,,,Apache/2.4.6 (CentOS) PHP/5.6.30,PHP/5.6.30,AS38044,MY,GITN-NETWORK GITN-NETWORK,|searchword|task|option|Itemid
jkptg,www.jkptg.gov.my,202.75.6.185,False,False,,,,,,,,,,AS17564,MY,GITN-PCN-AS-AP GITN (M) Sdn. Bhd.,
jkr,www.jkr.gov.my,43.252.232.157,True,True,115707565092734639685285563808875739530,2017-06-19 00:00:00,2019-08-19 23:59:59,sha256,0,"Host did not provide intermediate certs, unable to build trust chain",COMODO RSA Organization Validation Secure Server CA,n/a,n/a,AS38044,MY,GITN-NETWORK GITN-NETWORK,|search_block_form|form_build_id|form_id
jkrperlis,www.jkrperlis.gov.my,112.137.162.105,False,True,247066526767737788586625231054869874140,2018-02-20 00:00:00,2018-05-21 23:59:59,sha256,1,Pass,"cPanel, Inc. Certification Authority",Apache,n/a,AS17971,MY,TMVADS-AP TM-VADS DC Hosting,|searchword|task|option|Itemid
jmg,www.jmg.gov.my,103.8.146.7,False,False,,,,,,,,,,AS17564,MY,GITN-PCN-AS-AP GITN (M) Sdn. Bhd.,
jmm,www.jmm.gov.my,103.8.161.141,False,True,19927082656730298455745130014692869647,2012-07-18 00:00:00,2013-09-17 12:00:00,sha1,-1,Certificate expired,DigiCert High Assurance CA-3,Apache,PHP/5.2.4-2ubuntu5.25,AS17564,MY,GITN-PCN-AS-AP GITN (M) Sdn. Bhd.,|keys
sabah,www.joblink.sabah.gov.my,27.0.4.138,False,True,0,2014-04-26 02:09:14,2015-04-26 02:09:14,md5,-1,Certificate & Hostname mismatch,sabahjobcenter.com,Apache/2.4.9 (Unix) OpenSSL/1.0.1g PHP/5.5.11 mod_jk/1.2.40,n/a,AS55420,MY,SABAHNET-AS-AP APNIC ASN Block,
jobsmalaysia,www.jobsmalaysia.gov.my,202.60.59.57,False,False,,,,,,,,XXXXXXX,n/a,AS38044,MY,GITN-NETWORK GITN-NETWORK,|bannerBar:formLangSwitch_SUBMIT|bannerBar:formLangSwitch:_link_hidden_|language|bannerBar:formLangSwitch:_idcl|javax.faces.ViewState|bannerBar:formThemeSwitch_SUBMIT|bannerBar:formThemeSwitch:_idcl|bannerBar:formThemeSwitch:_link_hidden_|javax.faces.ViewState|bannerBar:formThemeSwitchForOKU_SUBMIT|bannerBar:formThemeSwitchForOKU:_link_hidden_|bannerBar:formThemeSwitchForOKU:_idcl|javax.faces.ViewState|bannerBar:formQuickSearch:quickSearchInputText|bannerBar:formQuickSearch:_idJsp181|bannerBar:formQuickSearch_SUBMIT|bannerBar:formQuickSearch:_link_hidden_|bannerBar:formQuickSearch:_idcl|javax.faces.ViewState|tabbingBar:formTabbingBar_SUBMIT|javax.faces.ViewState|iconBar:formIcons_SUBMIT|javax.faces.ViewState|viewEmployer_SUBMIT|test|viewEmployer:_idcl|viewEmployer:_link_hidden_|javax.faces.ViewState|moduleMainLogin:formJobseekerLogin:regType|moduleMainLogin:formJobseekerLogin:regType|moduleMainLogin:formJobseekerLogin:IC_Number_dob|moduleMainLogin:formJobseekerLogin:IC_Number_pob|moduleMainLogin:formJobseekerLogin:IC_Number_serial|moduleMainLogin:formJobseekerLogin:IC_old|moduleMainLogin:formJobseekerLogin:jobseeker_Password|moduleMainLogin:formJobseekerLogin:loginButtonA|moduleMainLogin:formJobseekerLogin_SUBMIT|moduleMainLogin:formJobseekerLogin:_link_hidden_|moduleMainLogin:formJobseekerLogin:_idcl|javax.faces.ViewState|moduleMainLogin:formEmployerLogin:employerId|moduleMainLogin:formEmployerLogin:employer_Password|moduleMainLogin:formEmployerLogin:login|moduleMainLogin:formEmployerLogin_SUBMIT|moduleMainLogin:formEmployerLogin:_idcl|moduleMainLogin:formEmployerLogin:_link_hidden_|javax.faces.ViewState|recommend_subview:recommend_form:Invitation_Email|recommend_subview:recommend_form:sendToFriend|recommend_subview:recommend_form_SUBMIT|recommend_subview:recommend_form:_idcl|recommend_subview:recommend_form:_link_hidden_|javax.faces.ViewState|footer:formFooterLinks_SUBMIT|footer:formFooterLinks:_idcl|language|footer:formFooterLinks:_link_hidden_|javax.faces.ViewState|toolBox:formOKUMenuChangeFontSize:currentSize|toolBox:formOKUMenuChangeFontSize:_idJsp2327|toolBox:formOKUMenuChangeFontSize:_idJsp2328|toolBox:formOKUMenuChangeFontSize:_idJsp2330|toolBox:formOKUMenuChangeFontSize:_idJsp2331|toolBox:formOKUMenuChangeFontSize_SUBMIT|toolBox:formOKUMenuChangeFontSize:_link_hidden_|toolBox:formOKUMenuChangeFontSize:_idcl|javax.faces.ViewState|toolBox:formOKUMenuChangeFontColor:currentColor|toolBox:formOKUMenuChangeFontColor:_idJsp2348|toolBox:formOKUMenuChangeFontColor:_idJsp2349|toolBox:formOKUMenuChangeFontColor:_idJsp2350|toolBox:formOKUMenuChangeFontColor:_idJsp2351|toolBox:formOKUMenuChangeFontColor:_idJsp2352|toolBox:formOKUMenuChangeFontColor:_idJsp2353|toolBox:formOKUMenuChangeFontColor:_idJsp2354|toolBox:formOKUMenuChangeFontColor:_idJsp2356|toolBox:formOKUMenuChangeFontColor_SUBMIT|toolBox:formOKUMenuChangeFontColor:_link_hidden_|toolBox:formOKUMenuChangeFontColor:_idcl|javax.faces.ViewState|toolBox:formOKUMenuChangeFontType:currentType|toolBox:formOKUMenuChangeFontType:_idJsp2373|toolBox:formOKUMenuChangeFontType:_idJsp2374|toolBox:formOKUMenuChangeFontType:_idJsp2375|toolBox:formOKUMenuChangeFontType:_idJsp2376|toolBox:formOKUMenuChangeFontType:_idJsp2377|toolBox:formOKUMenuChangeFontType:_idJsp2378|toolBox:formOKUMenuChangeFontType:_idJsp2379|toolBox:formOKUMenuChangeFontType:_idJsp2380|toolBox:formOKUMenuChangeFontType:_idJsp2381|toolBox:formOKUMenuChangeFontType:_idJsp2383|toolBox:formOKUMenuChangeFontType_SUBMIT|toolBox:formOKUMenuChangeFontType:_idcl|toolBox:formOKUMenuChangeFontType:_link_hidden_|javax.faces.ViewState|autoRegisterJobseekerForm:id|autoRegisterJobseekerForm:name|autoRegisterJobseekerForm:address1|autoRegisterJobseekerForm:address2|autoRegisterJobseekerForm:address3|autoRegisterJobseekerForm:postcode|autoRegisterJobseekerForm:autoRegisterJobseekerFormSubmit|autoRegisterJobseekerForm_SUBMIT|autoRegisterJobseekerForm:_idcl|autoRegisterJobseekerForm:_link_hidden_|javax.faces.ViewState
johor,www.johor.gov.my,210.19.13.244,False,False,,,,,,,,Apache,n/a,AS9930,MY,TTNET-MY TIME dotCom Berhad,n/a
jointforces,www.jointforces.mil.my,210.187.101.40,False,False,,,,,,,,Microsoft-IIS/8.0,PHP/7.0.9,AS4788,MY,"TMNET-AS-AP TM Net, Internet Service Provider",
jpa,www.jpa.gov.my,202.75.5.18,False,False,,,,,,,,nginx/1.12.2,PHP/5.6.33,AS17564,MY,GITN-PCN-AS-AP GITN (M) Sdn. Bhd.,|q|option|view|Itemid|lang
jpapencen,www.jpapencen.gov.my,202.75.5.22,False,False,,,,,,,,Microsoft-IIS/7.5,ASP.NET,AS17564,MY,GITN-PCN-AS-AP GITN (M) Sdn. Bhd.,
jpbdselangor,www.jpbdselangor.gov.my,58.27.46.174,False,False,,,,,,,,Apache/2.2.15 (CentOS),XXXXXXXXXXX,AS4788,MY,"TMNET-AS-AP TM Net, Internet Service Provider",|searchword|task|option|Itemid
jpj,www.jpj.gov.my,43.252.232.68,False,False,,,,,,,,n/a,n/a,AS38044,MY,GITN-NETWORK GITN-NETWORK,
jpm,www.jpm.gov.my,103.8.146.17,False,False,,,,,,,,Microsoft-IIS/8.5,n/a,AS17564,MY,GITN-PCN-AS-AP GITN (M) Sdn. Bhd.,
jpn,www.jpn.gov.my,1.9.138.125,False,False,,,,,,,,Apache,n/a,AS4788,MY,"TMNET-AS-AP TM Net, Internet Service Provider",
jpnin,www.jpnin.gov.my,103.8.161.46,True,True,5495705740789912992028179700,2017-12-15 03:11:18,2020-07-25 15:59:59,sha256,-1,Certificate & Hostname mismatch,GlobalSign Organization Validation CA - SHA256 - G2,Apache/2.4.6 (CentOS) OpenSSL/1.0.2k-fips PHP/5.6.32,PHP/5.6.32,AS17564,MY,GITN-PCN-AS-AP GITN (M) Sdn. Bhd.,|keys|submit|form_build_id|form_id
jpp,www.jpp.gov.my,203.217.178.12,False,False,,,,,,,,Apache,n/a,AS17564,MY,GITN-PCN-AS-AP GITN (M) Sdn. Bhd.,
jpph,www.jpph.gov.my,202.75.6.23,True,True,270241720177035999500144609136026192979,2018-01-19 01:42:30,2020-01-19 02:12:28,sha256,1,Pass,Entrust Certification Authority - L1M,Apache/2.2.15 (CentOS),n/a,AS17564,MY,GITN-PCN-AS-AP GITN (M) Sdn. Bhd.,
jpsperak,www.jpsperak.gov.my,103.6.199.25,False,False,,,,,,,,Microsoft-IIS/8.5,ASP.NET,AS46015,MY,EXABYTES-AS-AP Exa Bytes Network Sdn.Bhd.,n/a
jpsperlis,www.jpsperlis.gov.my,103.6.199.25,False,False,,,,,,,,Microsoft-IIS/8.5,ASP.NET,AS46015,MY,EXABYTES-AS-AP Exa Bytes Network Sdn.Bhd.,
jpw,www.jpw.gov.my,150.242.180.220,False,True,29551002961616548968977248990,2017-08-16 12:10:04,2018-08-17 12:10:04,sha256,1,Pass,AlphaSSL CA - SHA256 - G2,,,AS17564,MY,GITN-PCN-AS-AP GITN (M) Sdn. Bhd.,
jsm,www.jsm.gov.my,203.12.220.121,False,True,241298762880817787839357073373108499111,2016-12-27 00:00:00,2017-12-27 23:59:59,sha256,-1,Certificate expired,COMODO RSA Organization Validation Secure Server CA,n/a,JSP/2.2,AS38044,MY,GITN-NETWORK GITN-NETWORK,n/a
jtm,www.jtm.gov.my,202.75.5.220,False,False,,,,,,,,,,AS17564,MY,GITN-PCN-AS-AP GITN (M) Sdn. Bhd.,
jupem,www.jupem.gov.my,202.60.56.110,False,True,18906564608519973276904849286825623208,2015-12-01 00:00:00,2018-12-05 12:00:00,sha256,1,Pass,DigiCert SHA2 Secure Server CA,Apache/2.4.6 (CentOS) OpenSSL/1.0.2k-fips mod_fcgid/2.3.9 PHP/5.4.16,PHP/5.4.16,AS38044,MY,GITN-NETWORK GITN-NETWORK,
kabinet,www.kabinet.gov.my,202.75.6.115,False,False,,,,,,,,Apache,PHP/5.5.9,AS17564,MY,GITN-PCN-AS-AP GITN (M) Sdn. Bhd.,|searchword|task|option|Itemid|searchword|task|option|Itemid
kada,www.kada.gov.my,103.8.160.209,False,False,,,,,,,,n/a,n/a,AS17564,MY,GITN-PCN-AS-AP GITN (M) Sdn. Bhd.,|keywords|search|keywords|search
kbs,www.kbs.gov.my,202.75.6.253,False,False,,,,,,,,nginx,n/a,AS17564,MY,GITN-PCN-AS-AP GITN (M) Sdn. Bhd.,n/a
keda,www.keda.gov.my,188.165.223.104,False,False,,,,,,,,n/a,n/a,AS16276,FR,OVH,|keywords|search
kedah,www.kedah.gov.my,219.93.43.46,True,True,34936123749084180546424918264,2017-11-22 02:17:43,2019-11-23 02:17:43,sha256,0,"Host did not provide intermediate certs, unable to build trust chain",GlobalSign Domain Validation CA - SHA256 - G2,Apache,PHP/5.6.31,AS4788,MY,"TMNET-AS-AP TM Net, Internet Service Provider",n/a
kedahlib,www.kedahlib.gov.my,103.6.196.180,False,True,5853567694,2017-03-03 13:50:05,2018-03-03 13:50:05,sha256,0,"Host did not provide intermediate certs, unable to build trust chain",kedahlib.gov.my,Apache,n/a,AS46015,MY,EXABYTES-AS-AP Exa Bytes Network Sdn.Bhd.,n/a
kehakiman,www.kehakiman.gov.my,103.8.162.88,False,False,,,,,,,,Apache/2.2.15 (CentOS),PHP/5.6.31,AS17564,MY,GITN-PCN-AS-AP GITN (M) Sdn. Bhd.,|search_block_form|form_build_id|form_id
