domain,hostname,ip,TLSRedirect,redirectType,TLSSiteExist,serialNumber,notValidBefore,notValidAfter,signatureHashAlgorithm,statusCode,statusMessage,issuerCommonName,Server,X-Powered-By,asn,asnCountryCode,isp,formFields,siteTitle,shodan_ports,shodan_last_update,html_size
1govnet,1govserv.1govnet.gov.my,203.12.220.140,True,HTTP Status Code,True,29674122057683722225586492364,2017-04-25 08:16:11,2019-04-26 08:16:11,sha256,1,Pass,AlphaSSL CA - SHA256 - G2,Apache,n/a,AS38044,MY,GITN-NETWORK GITN-NETWORK,|icno|katalaluan|submit_login,1GovServ,,,2409
treasury,1pp.treasury.gov.my,103.8.144.196,False,None,False,,,,,,,,n/a,n/a,AS17564,MY,GITN-PCN-AS-AP GITN (M) Sdn. Bhd.,,Portal 1PP,80|,2018-03-14T06:28:31.067603,243464
jkr,3ps.jkr.gov.my,43.252.232.157,True,HTTP Status Code,True,115707565092734639685285563808875739530,2017-06-19 00:00:00,2019-08-19 23:59:59,sha256,0,"Host did not provide intermediate certs, unable to build trust chain",COMODO RSA Organization Validation Secure Server CA,n/a,PHP/5.5.38,AS38044,MY,GITN-NETWORK GITN-NETWORK,,Sistem 3Ps,443|80|,2018-03-17T15:36:38.124878,7280
rurallink,aardo19.rurallink.gov.my,150.242.181.32,True,HTTP Status Code,True,3881514861980723470563805829213680537,2017-08-01 00:00:00,2019-08-08 12:00:00,sha256,1,Pass,DigiCert SHA2 Secure Server CA,Apache,PHP/5.6.32,AS17564,MY,GITN-PCN-AS-AP GITN (M) Sdn. Bhd.,|searchword|task|option|Itemid,Home,80|443|,2018-03-22T01:06:23.275478,49169
1malaysia,1malaysia.com.my,54.169.246.79,False,None,False,,,,,,,,nginx/1.4.6 (Ubuntu),PHP/5.5.9-1ubuntu4.22,AS38895,JP,AMAZON-AS-AP Amazon.com Tech Telecom,|submitted[name]|submitted[email]|details[sid]|details[page_num]|details[page_count]|details[finished]|form_build_id|form_id|search_block_form|form_build_id|form_id,1Malaysia,80|,2018-03-03T17:26:51.336969,126986
met,abt.met.gov.my,175.28.14.115,False,None,False,,,,,,,,Apache/2.2.15 (CentOS),PHP/5.3.3,AS38044,MY,GITN-NETWORK GITN-NETWORK,|username|pass,Aviation Briefing Terminal,80|,2018-03-15T03:50:22.399195,4573
acem,acem.com.my,64.90.42.252,False,None,True,50159747054,2015-08-11 18:24:23,2025-08-08 18:24:23,sha256,-1,Certificate & Hostname mismatch,sni.dreamhost.com,Apache,n/a,AS26347,US,"DREAMHOST-AS - New Dream Network, LLC",|username|passwd|remember|option|Submit|op2|lang|return|message,Association of Consulting Engineers Malaysia - Home,5222|25|587|80|22|443|21|5269|,2018-03-31T21:37:12.340943,35531
treasury,1pp.treasury.gov.my,103.8.144.196,False,None,False,,,,,,,,n/a,n/a,AS17564,MY,GITN-PCN-AS-AP GITN (M) Sdn. Bhd.,,Portal 1PP,80|,2018-03-14T06:28:31.067603,243464
mod,admm.mod.gov.my,103.27.113.37,False,None,False,,,,,,,,n/a,n/a,AS132885,MY,CDSB-AS-AP CET DEVELOPMENT SDN BHD,|username|password|Submit|option|task|return|ac392e76409499c6ee557b6186cd040c,ADMM MinDef,80|,2018-03-24T12:59:53.772099,42558
jkr,3ps.jkr.gov.my,43.252.232.157,True,HTTP Status Code,True,115707565092734639685285563808875739530,2017-06-19 00:00:00,2019-08-19 23:59:59,sha256,0,"Host did not provide intermediate certs, unable to build trust chain",COMODO RSA Organization Validation Secure Server CA,n/a,PHP/5.5.38,AS38044,MY,GITN-NETWORK GITN-NETWORK,,Sistem 3Ps,443|80|,2018-03-17T15:36:38.124878,7280
rurallink,aardo19.rurallink.gov.my,150.242.181.32,True,HTTP Status Code,True,3881514861980723470563805829213680537,2017-08-01 00:00:00,2019-08-08 12:00:00,sha256,1,Pass,DigiCert SHA2 Secure Server CA,Apache,PHP/5.6.32,AS17564,MY,GITN-PCN-AS-AP GITN (M) Sdn. Bhd.,|searchword|task|option|Itemid,Home,80|443|,2018-03-22T01:06:23.275478,49169
selangor,adu-jkr.selangor.gov.my,211.25.230.137,False,None,False,,,,,,,,Microsoft-IIS/8.5,ASP.NET,AS9930,MY,TTNET-MY TIME dotCom Berhad,,Penutupan STARS,80|,2018-03-31T10:36:02.029364,3712
selangor,adu-mdhs.selangor.gov.my,211.25.230.138,False,None,False,,,,,,,,Microsoft-IIS/8.5,ASP.NET,AS9930,MY,TTNET-MY TIME dotCom Berhad,,Penutupan STARS,,,3746
selangor,adu-mdkl.selangor.gov.my,211.25.230.138,False,None,False,,,,,,,,Microsoft-IIS/8.5,ASP.NET,AS9930,MY,TTNET-MY TIME dotCom Berhad,,Penutupan STARS,,,3746
met,abt.met.gov.my,175.28.14.115,False,None,False,,,,,,,,Apache/2.2.15 (CentOS),PHP/5.3.3,AS38044,MY,GITN-NETWORK GITN-NETWORK,|username|pass,Aviation Briefing Terminal,80|,2018-03-15T03:50:22.399195,4573
selangor,adu-mdks.selangor.gov.my,211.25.230.137,False,None,False,,,,,,,,Microsoft-IIS/8.5,ASP.NET,AS9930,MY,TTNET-MY TIME dotCom Berhad,,Penutupan STARS,80|,2018-03-31T10:36:02.029364,3712
acem,acem.com.my,64.90.42.252,False,None,True,50159747054,2015-08-11 18:24:23,2025-08-08 18:24:23,sha256,-1,Certificate & Hostname mismatch,sni.dreamhost.com,Apache,n/a,AS26347,US,"DREAMHOST-AS - New Dream Network, LLC",|username|passwd|remember|option|Submit|op2|lang|return|message,Association of Consulting Engineers Malaysia - Home,5222|25|587|80|22|443|21|5269|,2018-03-31T21:37:12.340943,35520
mod,admm.mod.gov.my,103.27.113.37,False,None,False,,,,,,,,n/a,n/a,AS132885,MY,CDSB-AS-AP CET DEVELOPMENT SDN BHD,|username|password|Submit|option|task|return|4b5b0089790ce538ed729db8dfb82554,ADMM MinDef,80|,2018-03-24T12:59:53.772099,42558
selangor,adu-mdsb.selangor.gov.my,211.25.230.137,False,None,False,,,,,,,,Microsoft-IIS/8.5,ASP.NET,AS9930,MY,TTNET-MY TIME dotCom Berhad,,Penutupan STARS,80|,2018-03-31T10:36:02.029364,3712
selangor,adu-mpkj.selangor.gov.my,211.25.230.138,False,None,False,,,,,,,,Microsoft-IIS/8.5,ASP.NET,AS9930,MY,TTNET-MY TIME dotCom Berhad,,Penutupan STARS,,,3746
selangor,adu-jkr.selangor.gov.my,211.25.230.137,False,None,False,,,,,,,,Microsoft-IIS/8.5,ASP.NET,AS9930,MY,TTNET-MY TIME dotCom Berhad,,Penutupan STARS,80|,2018-03-31T10:36:02.029364,3712
selangor,adu-mps.selangor.gov.my,175.138.65.174,False,None,False,,,,,,,,Microsoft-IIS/8.5,ASP.NET,AS4788,MY,"TMNET-AS-AP TM Net, Internet Service Provider",,eAduan Majlis Perbandaran Selayang :: Selamat Datang :: Welcome,5985|,2018-03-05T18:28:23.223630,10286
selangor,adu-mdhs.selangor.gov.my,211.25.230.138,False,None,False,,,,,,,,Microsoft-IIS/8.5,ASP.NET,AS9930,MY,TTNET-MY TIME dotCom Berhad,,Penutupan STARS,,,3746
customs,aduan.customs.gov.my,103.8.160.205,False,None,False,,,,,,,,Apache/2.2.22 (Ubuntu),n/a,AS17564,MY,GITN-PCN-AS-AP GITN (M) Sdn. Bhd.,|,amaran,80|443|,2018-03-23T23:08:59.494783,4590
selangor,adu-mdkl.selangor.gov.my,211.25.230.138,False,None,False,,,,,,,,Microsoft-IIS/8.5,ASP.NET,AS9930,MY,TTNET-MY TIME dotCom Berhad,,Penutupan STARS,,,3746
jkr,aduan.jkr.gov.my,43.252.232.157,True,HTTP Status Code,True,115707565092734639685285563808875739530,2017-06-19 00:00:00,2019-08-19 23:59:59,sha256,0,"Host did not provide intermediate certs, unable to build trust chain",COMODO RSA Organization Validation Secure Server CA,n/a,n/a,AS38044,MY,GITN-NETWORK GITN-NETWORK,,Sistem Aduan JKR Malaysia,443|80|,2018-03-17T15:36:38.124878,5145
kpkt,aduan.kpkt.gov.my,203.217.179.36,True,HTTP Status Code,True,1465763785157600663970569707576092542,2015-12-03 00:00:00,2018-12-06 12:00:00,sha256,1,Pass,DigiCert SHA2 Secure Server CA,n/a,n/a,AS17564,MY,GITN-PCN-AS-AP GITN (M) Sdn. Bhd.,|title|title|title|title|title|title|title|title|title|title,Sistem Aduan Bersepadu KPKT,80|443|,2018-03-31T02:55:36.862261,13375
selangor,adu-mdks.selangor.gov.my,211.25.230.137,False,None,False,,,,,,,,Microsoft-IIS/8.5,ASP.NET,AS9930,MY,TTNET-MY TIME dotCom Berhad,,Penutupan STARS,80|,2018-03-31T10:36:02.029364,3712
